,fid,Address,Account Number,Meter Number,Route,Condition,Account_Number,geometry
0,1,0 OLD SUMMERVILLE RD,015521,1470254952,68,Normal,,POINT Z (-85.181499103 34.33296186 0)
1,2,0 OLD SUMMERVILLE RD,015521,1470466126,68,Normal,,POINT Z (-85.181513506 34.332968891 0)
2,3,1 ARMUCHEE HIGH SCHOOL,015522,1831955115,68,Normal,,POINT Z (-85.179785742 34.34409294 0)
3,4,1 ARMUCHEE HIGH SCHOOL,015522,1832033109,68,Normal,,POINT Z (-85.179791703 34.344094956 0)
4,5,735 OLD SVILLE RD,114110,1450073562,68,Normal,,POINT Z (-85.177866823 34.321685781 0)
5,6,735 OLD SVILLE RD,114110,1470199338,68,Normal,,POINT Z (-85.177852292 34.321684488 0)
6,7,694 OLD SVILLE RD,114163,1471713884,68,Normal,,POINT Z (-85.175730702 34.320406301 0)
7,8,696 OLD S*VILLE,114164,1481711020,68,Normal,,POINT Z (-85.175720964 34.320408571 0)
8,9,5 SARAH ST,114759,1850412625,68,Normal,,POINT Z (-85.177371257 34.322013314 0)
9,10,313 OLD SVILLE RD,114968,1470719382,68,Normal,,POINT Z (-85.174265857 34.310846533 0)
10,11,315 OLD SVILLE RD,114969,1470701820,68,Normal,,POINT Z (-85.174275506 34.31084552 0)
11,12,315 OLD SVILLE RD,114969,1852640269,68,Normal,,POINT Z (-85.174271409 34.310850215 0)
12,13,1 SARAH ST,118198,1490431002,68,Normal,,POINT Z (-85.177682731 34.321986598 0)
13,14,3 SARAH ST,118199,1490432788,68,Normal,,POINT Z (-85.177668086 34.321988087 0)
14,15,2797 MARTHA BERRY HWY,128285,1852430057,68,Normal,,POINT Z (-85.17613958 34.303120428 0)
15,16,2817 MARTHA BERRY HWY,117285,1472046390,68,Normal,,POINT Z (-85.175793959 34.304027689 0)
16,17,2817 MARTHA BERRY HWY,117285,1472069530,68,Normal,,POINT Z (-85.175791461 34.304009932 0)
17,18,3221 MARTHA BERRY HWY,108725,1410169172,68,Normal,,POINT Z (-85.174391675 34.313899691 0)
18,19,3221 MARTHA BERRY HWY,108725,1410169390,68,Normal,,POINT Z (-85.174389993 34.313901527 0)
19,20,17 HABERSHAM COURT,106600,1831078193,68,Normal,,POINT Z (-85.178507153 34.318297835 0)
20,21,684 OLD SVILLE RD,010216,1852533506,68,Normal,,POINT Z (-85.175948043 34.320420919 0)
21,22,0 OLD SVILLE RD,103964,1852666743,68,Normal,,POINT Z (-85.175362254 34.305016238 0)
22,23,0 OLD SVILLE RD,103962,1490783846,68,Normal,,POINT Z (-85.175369725 34.305017883 0)
23,24,0 OLD SVILLE RD,103963,1490786340,68,Normal,,POINT Z (-85.175358306 34.305026467 0)
